feedback_id,feedback_text,aspects,sentiments,num_aspects
fb_00050,"Impressed with the network stability lately. No outages, good speed, clear calls. The coverage in my township is finally reliable after years of complaints.",Network Outage|Internet Speed|Call Quality|Network Coverage,Positive|Positive|Positive|Positive,4
fb_00051,Customer support is absolutely useless. Been on hold for 45 minutes and still no resolution.,Customer Support,Negative,1
fb_00052,Billing is a nightmare. They charged me twice this month and the recharge plan I selected was not what got activated. Total scam.,Billing|Recharge Plans,Negative|Negative,2
fb_00053,SERIOUSLY Pricing is reasonable for what you get honestly.,Pricing,Positive,1
fb_00054,Called customer support about a billing error and they fixed it within 10 minutes. Pleasant surprise. The recharge plans are also quite flexible with good options for every budget fr,Customer Support|Billing|Recharge Plans,Positive|Neutral|Positive,3
fb_00055,Their pricing is daylight robbery for the quality of service provided.,Pricing,Negative,1
fb_00056,"Recharge plans keep changing every month, cant keep track. Billing also shows random deductions I never authorized. Customer support just gives scripted responses when I complain BEST ever!",Recharge Plans|Billing|Customer Support,Negative|Negative|Negative,3
fb_00057,Good variety of recharge plans available.,Recharge Plans,Positive,1
fb_00058,"The pricing compared to competitors is actually decent. Customer support could be better though, long wait times on calls.",Pricing|Customer Support,Positive|Negative,2
fb_00059,Worst billing system ever. Overcharged three months in a row.,Billing,Negative,1
fb_00060,Customer support agent was rude and unhelpful. Asked to speak to manager and got disconnected. The billing issue I called about is still unresolved after 2 weeks.,Customer Support|Billing,Negative|Negative,2
fb_00061,"Recharge plans offer good value, especially the annual ones. Pricing is competitive in the market.",Recharge Plans|Pricing,Positive|Positive,2
fb_00062,"Billing is transparent, no hidden charges so far.",Billing,Positive,1
fb_00063,Their customer support chat bot is trash. Keeps going in circles. Had to visit the store physically to get my billing sorted. Waste of time.,Customer Support|Billing,Negative|Negative,2
fb_00064,"Pricing is okay, not cheap not expensive.",Pricing,Neutral,1
fb_00065,The new recharge plans are confusing. Too many options and the pricing structure makes no sense. Why is the 84-day plan more expensive per day than the 28-day one?,Recharge Plans|Pricing,Negative|Negative,2
fb_00066,Customer support resolved my issue quickly over WhatsApp. Impressed with the new digital support channels they've added rn,Customer Support,Positive,1
fb_00067,Billing cycle is confusing and customer support cant explain it properly either.,Billing|Customer Support,Negative|Negative,2
fb_00068,Recharge plans are decent I suppose. Nothing special but gets the job done.,Recharge Plans,Neutral,1
fb_00069,Pricing has gone up significantly this year. The same plan that was 199 is now 299. Customer support says its due to 'enhanced services' but I see no difference. Billing still shows the old plan name which is confusing...,Pricing|Customer Support|Billing,Negative|Negative|Negative,3
fb_00070,"Love the family recharge plan, great value for multiple connections.",Recharge Plans|Pricing,Positive|Positive,2
fb_00071,Customer support number is always busy. Tried 10 times today.,Customer Support,Negative,1
fb_00072,Billing is accurate and on time every month. No issues there. Recharge plans could have more data options though.,Billing|Recharge Plans,Positive|Neutral,2
fb_00073,"Pathetic customer support, no one picks up the phone ever.",Customer Support,Negative,1
fb_00074,Wow such fast internet......... my grandma walks faster than this downloads...,Pricing|Recharge Plans,Negative|Negative,2
fb_00075,Billing department sorted my refund in 3 days. Appreciate the quick turnaround.,Billing,Positive,1
fb_00076,Customer support is a joke. Recharge plan got deactivated without notice and they blame the system. Pricing for reactivation is ridiculous too.,Customer Support|Recharge Plans|Pricing,Negative|Negative|Negative,3
fb_00077,"Affordable pricing for students, good initiative.",Pricing,Positive,1
fb_00078,Got charged for a plan I never subscribed to. Billing error apparently. Customer support took a week to reverse it. Unacceptable.,Billing|Customer Support,Negative|Negative,2
fb_00079,Recharge plans are straightforward and easy to understand.,Recharge Plans,Positive,1
fb_00080,The customer support team on Twitter is actually responsive. Got my billing query answered in 30 mins. Much better than the phone support.,Customer Support|Billing,Positive|Neutral,2
fb_00081,Pricing keeps increasing every quarter with no improvement in service??!,Pricing,Negative,1
fb_00082,Wonderful service... if you enjoy overpriced plans with less data.,Recharge Plans|Pricing|Billing,Negative|Negative|Negative,3
fb_00083,Customer support was helpful and polite today.,Customer Support,Positive,1
fb_00084,"Billing is fine, auto-debit works smoothly every month. No complaints.",Billing,Neutral,1
fb_00085,Their prepaid recharge plans are overpriced compared to what Jio offers. Customer support doesnt care when you point this out. They just say 'we offer premium quality' which is nonsense.,Recharge Plans|Pricing|Customer Support,Negative|Negative|Negative,3
fb_00086,Pricing is fair for the premium segment I think.,Pricing,Neutral,1
fb_00087,Customer support email response took 5 days. By then I had already solved the billing issue myself by visiting the store.,Customer Support|Billing,Negative|Negative,2
fb_00088,"The unlimited recharge plan is actually unlimited, no fair usage cap. Refreshing honesty in pricing.",Recharge Plans|Pricing,Positive|Positive,2
fb_00089,"Sure, 'unlimited' data that stops working after 1GB. Very honest advertising.",Billing,Negative,1
fb_00090,Customer support IVR system is the worst I've ever used. 15 options before you can speak to a human. And then they transfer you 3 times. Billing issue still not resolved after all that UGH!,Customer Support|Billing,Negative|Negative,2
fb_00091,Recharge plans have good variety for different needs.,Recharge Plans,Neutral,1
fb_00092,Pricing is competitive and billing is always correct. Happy customer here. The recharge process through the app is also super smooth.,Pricing|Billing|Recharge Plans,Positive|Positive|Positive,3
fb_00093,Customer support hung up on me mid-conversation. Disgusting service.,Customer Support,Negative,1
fb_00094,The new budget recharge plan at 149 is decent value. Pricing seems to have improved for the lower tier plans at least.,Recharge Plans|Pricing,Positive|Positive,2
fb_00095,"Great, billing errors for the third time this month. Love it.",Billing,Negative,1
fb_00096,SERIOUSLY Customer support promised a callback that never came. Typical. The billing overcharge from last month is still showing on my account.,Customer Support|Billing,Negative|Negative,2
fb_00097,"Recharge plans are okayish, nothing great tho",Recharge Plans,Neutral,1
fb_00098,Pricing for international add-ons is insane. 500 rupees for 1GB roaming data? Customer support says thats the standard rate. Absolute rip-off.,Pricing|Customer Support,Negative|Negative,2
fb_00099,"Billing notifications come on time via SMS, helpful feature LOVE it!",Billing,Positive,1
fb_00100,Overall the recharge plans and pricing are average. Customer support needs major improvement though. Billing is fine when it works but errors happen too often 😤,Recharge Plans|Pricing|Customer Support|Billing,Neutral|Neutral|Negative|Negative,4
fb_00101,Data balance tracking in the app is super accurate. Always know exactly how much I have left??!,Data Balance,Positive,1
fb_00102,The data validity period is generous compared to other providers. 90 days for the premium plan is great. Value for money is solid overall...,Data Validity|Value for Money,Positive|Positive,2
fb_00103,"Roaming charges are insane, got a bill shock after my trip smh",Roaming,Negative,1
fb_00104,Data balance gets consumed way too fast. I recharged 2GB yesterday and its already gone. Either theres a leak or their counting is off. Definitely not value for money truly PATHETIC!,Data Balance|Value for Money,Negative|Negative,2
fb_00105,Roaming worked seamlessly in Singapore. Data balance was easy to track and the international pack gave good validity. Really impressed with the whole experience abroad.,Roaming|Data Balance|Data Validity,Positive|Positive|Positive,3
fb_00106,Good value for money on the 365-day plan.,Value for Money,Positive,1
fb_00107,"Data validity is only 28 days which is annoying. Why not make it a full month? The data balance alerts are helpful though, get notified at 75% and 90% usage.",Data Validity|Data Balance,Negative|Positive,2
fb_00108,Roaming rates have improved a lot this year. Used my phone freely in Dubai without worrying.,Roaming,Positive,1
fb_00109,The value for money is unbeatable. 2GB daily data with 90 day validity for just 599. Data balance carries over if unused which is a nice touch.,Value for Money|Data Validity|Data Balance,Positive|Positive|Positive,3
fb_00110,Data balance shows different numbers on app vs USSD code. Confusing.,Data Balance,Negative,1
fb_00111,"Roaming is okay, works in most countries I've visited. Data validity on roaming packs could be longer though.",Roaming|Data Validity,Neutral|Negative,2
fb_00112,"Excellent value for money, no complaints whatsoever!!!",Value for Money,Positive,1
fb_00113,Data balance notifications come too late. By the time I get the alert my data is already exhausted. Happened three times this month. They should send warnings earlier HATE this!,Data Balance,Negative,1
fb_00114,The 84-day validity plan is perfect for people who dont want to recharge every month. Good value for money and data balance is sufficient for moderate usage.,Data Validity|Value for Money|Data Balance,Positive|Positive|Positive,3
fb_00115,Roaming data speeds are pathetically slow even on the premium pack.,Roaming,Negative,1
fb_00116,Data validity is fair for the price point. Nothing extraordinary but acceptable. Value for money is decent in the mid-range plans.,Data Validity|Value for Money,Neutral|Positive,2
fb_00117,SERIOUSLY Love that I can check data balance via WhatsApp now. So convenient.,Data Balance,Positive,1
fb_00118,lol roaming in Europe was flawless. Auto-activated the international pack and data balance was clearly visible. The per-day pricing while roaming is actually reasonable now.,Roaming|Data Balance|Value for Money,Positive|Positive|Positive,3
fb_00119,Data validity too short for the amount of data given.,Data Validity,Negative,1
fb_00120,"Value for money has decreased over the years. Same price, less data, shorter validity. They think we dont notice but we do.",Value for Money|Data Validity,Negative|Negative,2
fb_00121,Data balance rollover feature is amazing. Unused data carries to next cycle.,Data Balance,Positive,1
fb_00122,Roaming packs are well designed with good data validity. Used it in Thailand for 2 weeks and had no issues. The value for money on the Asia roaming pack is genuinely good fr,Roaming|Data Validity|Value for Money,Positive|Positive|Positive,3
fb_00123,Data balance is adequate for my daily usage.,Data Balance,Neutral,1
fb_00124,lol the roaming experience was terrible in Sri Lanka. No data connectivity for hours. Data balance showed full but nothing was working. Complete waste of money on that roaming pack.,Roaming|Data Balance|Value for Money,Negative|Negative|Negative,3
fb_00125,"fr great data validity on the annual plan, truly worth it.",Data Validity|Value for Money,Positive|Positive,2
fb_00126,Data balance depletes overnight even when Im sleeping. Something is wrong with background data tracking.,Data Balance,Negative,1
fb_00127,"Roaming activation is instant now, no more waiting. Data validity on roaming packs is also reasonable at 30 days.",Roaming|Data Validity,Positive|Positive,2
fb_00128,Value for money is the best in this price segment. Hands down.,Value for Money,Positive,1
fb_00129,Data balance check via SMS is still working which is nice for non-smartphone users. Validity info is also included in the reply. Simple and effective.,Data Balance|Data Validity,Positive|Positive,2
fb_00130,Roaming charges are hidden in fine print. Got charged extra despite having a pack.,Roaming,Negative,1
fb_00131,The value for money proposition is strong. 1.5GB daily with 56 day validity at 399 is competitive. Data balance management through the app is also smooth.,Value for Money|Data Validity|Data Balance,Positive|Positive|Positive,3
fb_00132,"Data validity is standard, nothing special about it.",Data Validity,Neutral,1
fb_00133,Roaming worked perfectly in the US. Loved the daily rental model for data. Much better value for money than buying a local SIM.,Roaming|Value for Money,Positive|Positive,2
fb_00134,Data balance accuracy is questionable tbh.,Data Balance,Negative,1
fb_00135,The long validity plans are a lifesaver for people like me who forget to recharge. 365 days validity with decent data balance is exactly what I needed. Great value.,Data Validity|Data Balance|Value for Money,Positive|Positive|Positive,3
fb_00136,Roaming data is expensive but at least it works reliably.,Roaming,Neutral,1
fb_00137,smh value for money is good if you pick the right plan. Data validity varies a lot between plans so choose carefully.,Value for Money|Data Validity,Positive|Neutral,2
fb_00138,Data balance widget on home screen is super useful. Can see remaining data at a glance without opening the app.,Data Balance,Positive,1
fb_00139,Roaming in Nepal was a disaster. No network half the time and data balance kept showing errors. Paid for 7 days validity but could barely use 3 days. Terrible value for money.,Roaming|Data Balance|Data Validity|Value for Money,Negative|Negative|Negative|Negative,4
fb_00140,SERIOUSLY Happy with the data validity on my current plan. 84 days is perfect.,Data Validity,Positive,1
fb_00141,Data balance alerts via app notification are timely and helpful. Value for money on the 2GB daily plan is excellent for heavy users like me.,Data Balance|Value for Money,Positive|Positive,2
fb_00142,Roaming packs are easy to activate from the app. Smooth experience.,Roaming,Positive,1
fb_00143,Wow such fast internet... my grandma walks faster than this downloads.,Data Validity,Negative,1
fb_00144,Solid value for money across all plan tiers. Data balance is generous and validity periods are reasonable. Roaming add-ons are also fairly priced now :(,Value for Money|Data Balance|Data Validity|Roaming,Positive|Positive|Positive|Positive,4
fb_00145,Data balance runs out too quickly on the basic plan.,Data Balance,Negative,1
fb_00146,Roaming coverage has expanded to more countries this year. Good progress. Data validity on international packs is now 30 days which is fair.,Roaming|Data Validity,Positive|Positive,2
fb_00147,"Value for money is average, nothing exceptional.",Value for Money,Neutral,1
fb_00148,The data balance top-up option is convenient. Can add extra GB without changing my plan. Validity extends automatically too which is a nice bonus.,Data Balance|Data Validity,Positive|Positive,2
fb_00149,Roaming auto-activates without consent sometimes. Got charged for a day I didnt even use data abroad.,Roaming,Negative,1
fb_00150,"Overall great value for money. Data balance is sufficient, validity is long, and even roaming has become affordable. Satisfied customer for 3 years now.",Value for Money|Data Balance|Data Validity|Roaming,Positive|Positive|Positive|Positive,4
fb_00151,SIM ACTIVATION TOOK 3 DAYS WHICH IS WAY TOO LONG IN 2024.,SIM Activation,Negative,1
fb_00152,The mobile app is smooth and well designed. OTT bundles included with my plan are a gr8 bonus. Getting free Netflix and Hotstar makes the plan worth it.,Mobile App Experience|OTT Bundle Services,Positive|Positive,2
fb_00153,"5G experience has been phenomenal in my city!!! Speeds are insane, like 800mbps on speed test!!! The mobile app also shows 5G coverage maps which is helpful!!!",5G Experience|Mobile App Experience,Positive|Positive,2
fb_00154,"SIM activation process was seamless, done in 2 hours via eKYC.",SIM Activation,Positive,1
fb_00155,The mobile app crashes every time I try to check my usage. OTT bundle activation through the app is also broken. Had to call support to get my Hotstar subscription linked.,Mobile App Experience|OTT Bundle Services,Negative|Negative,2
fb_00156,5G is available in my area but the speeds are barely better than 4G. Expected more honestly.,5G Experience,Negative,1
fb_00157,SIM activation was instant at the store. The guy also helped me set up the mobile app and activate my OTT bundles. Great first experience with this provider.,SIM Activation|Mobile App Experience|OTT Bundle Services,Positive|Positive|Positive,3
fb_00158,Mobile app UI is outdated and laggy on my phone LOVE it!,Mobile App Experience,Negative,1
fb_00159,OTT bundle services are decent but limited. Only 3 apps included while competitors offer 10+. 5G experience is good where available but coverage is still limited to select areas.,OTT Bundle Services|5G Experience,Negative|Neutral,2
fb_00160,eSIM activation failed twice before working on the third attempt. Frustrating process.,SIM Activation,Negative,1
fb_00161,"The app is fantastic for managing everything. Recharge, check balance, activate OTT subscriptions all in one place. 5G toggle in the app is also a nice touch imo",Mobile App Experience|OTT Bundle Services|5G Experience,Positive|Positive|Positive,3
fb_00162,5G drains battery like crazy on my phone. Not sure if thats the network or my device. Smh.,5G Experience,Negative,1
fb_00163,SIM activation online was quick and easy. Got the SIM delivered next day and it was active within minutes of inserting. The welcome message even had a link to download the app 😤 truly PATHETIC!,SIM Activation|Mobile App Experience,Positive|Neutral,2
fb_00164,"OTT bundles are the main reason I chose this provider. Free Sony LIV, Zee5, and JioCinema is amazing value.",OTT Bundle Services,Positive,1
fb_00165,Mobile app notifications are too frequent and annoying. Cant disable them without losing important alerts. 5G keeps disconnecting and falling back to 4G randomly.,Mobile App Experience|5G Experience,Negative|Negative,2
fb_00166,Amazing... network gone again. What a surprise. Paying premium for this 'service'.,SIM Activation,Negative,1
fb_00167,SERIOUSLY The OTT bundle with my plan expired without any notification. Had to reactivate manually through the app which was confusing. At least the app worked once I figured out where the option was :(,OTT Bundle Services|Mobile App Experience,Negative|Neutral,2
fb_00168,5G speeds are genuinely impressive when it works. Downloaded a 2GB file in under 30 seconds.,5G Experience,Positive,1
fb_00169,"SIM activation was a nightmr. Took 5 days, multiple store visits, and 3 calls to customer care. The mobile app kept showing 'activation pending' the entire time. Worst onboarding experience ever.",SIM Activation|Mobile App Experience,Negative|Negative,2
fb_00170,"OTT bundles are a nice perk, adds good value to the plan NEVER again!",OTT Bundle Services,Positive,1
fb_00171,5G experience is okay in my area. Not blazing fast but noticeably better than 4G. The mobile app shows real-time network type which is cool.,5G Experience|Mobile App Experience,Neutral|Positive,2
fb_00172,"Mobile app dark mode is great, easy on the eyes at night.",Mobile App Experience,Positive,1
fb_00173,ngl sIM activation for my mom's phone was super easy with Aadhaar OTP. The whole process took 10 minutes at the store. They even helped install the app and set up her OTT subscriptions.,SIM Activation|Mobile App Experience|OTT Bundle Services,Positive|Positive|Positive,3
fb_00174,5G not available in my area yet despite being promised 6 months ago.,5G Experience,Negative,1
fb_00175,The OTT bundle selection is mediocre. No Amazon Prime or Disney+. Mobile app is functional but nothing special compared to competitors.,OTT Bundle Services|Mobile App Experience,Negative|Neutral,2
fb_00176,ngl sIM activation through the app using eSIM was brilliant. No physical store visit needed. Took 5 minutes flat HATE this!,SIM Activation|Mobile App Experience,Positive|Positive,2
fb_00177,5G coverage map in the app is inaccurate. Shows coverage in my area but I never get 5G signal...,5G Experience|Mobile App Experience,Negative|Negative,2
fb_00178,OTT bundles auto-renew which is convenient. No interruption in streaming.,OTT Bundle Services,Positive,1
fb_00179,Mobile app keeps asking me to update but the update always fails. Stuck on an old version. SIM swap option in the app doesnt work either!!!,Mobile App Experience|SIM Activation,Negative|Negative,2
fb_00180,5G is the future and this provider is leading the rollout. Impressed with the speeds and stability.,5G Experience,Positive,1
fb_00181,"SIM activation was average, took about a day. Nothing remarkable.",SIM Activation,Neutral,1
fb_00182,ngl the mobile app has a great interface and the OTT section makes it easy to manage all subscriptions. 5G settings are also accessible directly from the app dashboard.,Mobile App Experience|OTT Bundle Services|5G Experience,Positive|Positive|Neutral,3
fb_00183,OTT bundle stopped working after plan renewal. Had to reactivate manually.,OTT Bundle Services,Negative,1
fb_00184,5G experience in Bangalore is top tier. Consistent 500+ mbps. The app even shows a speed history graph which is neat. Ugh.,5G Experience|Mobile App Experience,Positive|Positive,2
fb_00185,SIM activation for a new number was quick but porting took forever. Different processes apparently.,SIM Activation,Neutral,1
fb_00186,Mobile app login keeps failing with OTP issues. Very frustrating when you just want to check your balance or activate an OTT subscription.,Mobile App Experience|OTT Bundle Services,Negative|Negative,2
fb_00187,5G availability is still too limited. Only works in specific spots even within covered cities.,5G Experience,Negative,1
fb_00188,"The OTT bundle with JioCinema premium is worth it alone. Add the smooth mobile app experience and easy SIM activation process, and you have a solid overall package. Ugh.",OTT Bundle Services|Mobile App Experience|SIM Activation,Positive|Positive|Positive,3
fb_00189,"Mobile app size is too large, takes up 500MB on my phone.",Mobile App Experience,Negative,1
fb_00190,omg 5G on this network is genuinely fast. OTT streaming in 4K without buffering is now possible on mobile. The future is here!!!,5G Experience|OTT Bundle Services,Positive|Positive,2
fb_00191,"SIM activation failed online, had to go to store. Waste of time.",SIM Activation,Negative,1
fb_00192,The app is okay for basic stuff. OTT bundle management could be more intuitive though.,Mobile App Experience|OTT Bundle Services,Neutral|Neutral,2
fb_00193,"5G experience is inconsistent. Sometimes blazing fast, sometimes no different from 4G. Depends on time of day and exact location.",5G Experience,Neutral,1
fb_00194,SIM activation with video KYC was innovative and quick. Didnt have to leave my house. The mobile app guided me through the entire process step by step.,SIM Activation|Mobile App Experience,Positive|Positive,2
fb_00195,OTT bundles keep changing without notice. Lost my Hotstar access suddenly.,OTT Bundle Services,Negative,1
fb_00196,Mobile app payment gateway is unreliable. Failed transactions but money gets deducted. 5G toggle in settings doesnt seem to do anything on my device.,Mobile App Experience|5G Experience,Negative|Negative,2
fb_00197,SIM activation process is straightforward and well documented on their website 🙄 imo,SIM Activation,Positive,1
fb_00198,The OTT bundle is the highlight of this plan. Getting 5 premium apps free is unheard of. Mobile app makes it easy to activate them all with one tap.,OTT Bundle Services|Mobile App Experience,Positive|Positive,2
fb_00199,bruh 5G is overhyped. Barely notice the difference in daily usage tbh.,5G Experience,Neutral,1
fb_00200,"Overall the SIM activation was smooth, mobile app works well, OTT bundles add value, and 5G is a nice bonus where available. Solid experience across the board fr",SIM Activation|Mobile App Experience|OTT Bundle Services|5G Experience,Positive|Positive|Positive|Positive,4
fb_00201,Number portability took 10 days instead of the promised 3. Absolute joke.,Number Portability,Negative,1
fb_00202,ugh sMS services are unreliable. OTPs arrive late or not at all. Network congestion during peak hours makes it worse. Missed multiple bank transactions because of this.,SMS Services|Network Congestion,Negative|Negative,2
fb_00203,Postpaid plan billing is clear and the plan itself offers good benefits.,Postpaid Plans,Positive,1
fb_00204,Network congestion in my area is unbearable during evenings. Cant even send a simple SMS. Thinking of porting to another provider but heard the portability process is also painful.,Network Congestion|SMS Services|Number Portability,Negative|Negative|Negative,3
fb_00205,bruh ported my number successfully in just 2 days. Smooth process.,Number Portability,Positive,1
fb_00206,SMS delivery is delayed by hours sometimes. Postpaid plan charges are also higher than what was advertised. Feel cheated :( NEVER again!,SMS Services|Postpaid Plans,Negative|Negative,2
fb_00207,Amazing... network gone again. What a surprise. Paying premium for this 'service'.,Network Congestion,Negative,1
fb_00208,Number portability request got rejected twice for no valid reason. SMS confirmation never arrived. The whole system is broken and nobody seems to care about fixing it.,Number Portability|SMS Services,Negative|Negative,2
fb_00209,bruh postpaid plans have improved recently with better data limits.,Postpaid Plans,Positive,1
fb_00210,"Network congestion makes video calls impossible after 7pm. Everyone in my building faces the same issue. SMS works fine though, at least thats reliable.",Network Congestion|SMS Services,Negative|Positive,2
fb_00211,Tried porting out but they kept delaying with excuses. Took 15 days total.,Number Portability,Negative,1
fb_00212,SMS services still work well for OTPs and alerts. Postpaid plan auto-pay is convenient. Network congestion is the only real issue I face with this provider.,SMS Services|Postpaid Plans|Network Congestion,Positive|Positive|Negative,3
fb_00213,omg postpaid plan has too many hidden charges that show up on the bill.,Postpaid Plans,Negative,1
fb_00214,Network congestion is so bad that even basic browsing doesnt work in the evening. Number portability is looking very attractive right now. Already initiated the process.,Network Congestion|Number Portability,Negative|Neutral,2
fb_00215,Wow such fast internet... my grandma walks faster than this downloads.,SMS Services,Negative,1
fb_00216,"Wonderful... 5G promised, 2G delivered. Truly next generation experience.",Postpaid Plans|Number Portability|SMS Services,Negative|Negative|Negative,3
fb_00217,Network congestion has reduced after they added new towers in our area. Noticeable improvement.,Network Congestion,Positive,1
fb_00218,Number portability should be instant in 2024 but these companies still take a week. SMS confirmation of port request came 6 hours late. Ridiculous.,Number Portability|SMS Services,Negative|Negative,2
fb_00219,Great value for money... if money means nothing to u.,Postpaid Plans|Network Congestion,Negative|Negative,2
